Time,inflation,recession,unemployment,interest rates,ECB,Search_Index
2019-12-01,14,21,9,4,32,16.0
2020-01-01,15,19,10,5,37,17.2
2020-02-01,14,26,10,3,34,17.4
2020-03-01,37,99,17,4,44,40.2
2020-04-01,32,66,33,4,37,34.4
2020-05-01,23,43,26,5,36,26.6
2020-06-01,19,28,21,4,34,21.2
2020-07-01,15,23,17,4,33,18.4
2020-08-01,15,22,15,3,24,15.8
2020-09-01,17,19,15,3,38,18.4
2020-10-01,17,16,13,3,37,17.2
2020-11-01,19,19,12,3,37,18.0
2020-12-01,20,17,10,3,28,15.6
2021-01-01,26,19,11,4,31,18.2
2021-02-01,32,17,12,4,34,19.8
2021-03-01,32,14,10,3,34,18.6
2021-04-01,23,12,8,3,25,14.2
2021-05-01,34,13,9,3,32,18.2
2021-06-01,31,11,9,3,31,17.0
2021-07-01,28,11,7,3,31,16.0
2021-08-01,26,10,7,3,23,13.8
2021-09-01,35,14,8,3,35,19.0
2021-10-01,55,14,8,3,33,22.6
2021-11-01,50,13,8,4,31,21.2
2021-12-01,53,11,8,4,32,21.6
2022-01-01,66,24,13,6,34,28.6
2022-02-01,63,22,12,6,36,27.8
2022-03-01,83,32,12,6,38,34.2
2022-04-01,89,42,11,7,36,37.0
2022-05-01,78,56,13,7,39,38.6
2022-06-01,98,76,11,9,51,49.0
2022-07-01,91,100,11,8,54,52.8
2022-08-01,78,66,10,6,36,39.2
2022-09-01,100,84,11,8,54,51.4
2022-10-01,85,77,11,8,41,44.4
2022-11-01,79,71,11,8,43,42.4
2022-12-01,61,50,10,7,37,33.0
2023-01-01,71,60,12,8,38,37.8
2023-02-01,59,48,12,8,46,34.6
2023-03-01,59,41,11,9,48,33.6
2023-04-01,45,34,11,7,30,25.4
2023-05-01,50,88,13,7,38,39.2
2023-06-01,47,56,12,8,39,32.4
2023-07-01,41,42,13,8,45,29.8
2023-08-01,39,38,13,7,34,26.2
2023-09-01,44,35,12,8,45,28.8
2023-10-01,44,32,12,8,43,27.8
2023-11-01,45,28,14,8,46,28.2
2023-12-01,42,24,11,9,33,23.8
2024-01-01,48,33,14,9,47,30.2
2024-02-01,43,52,14,8,47,32.8
2024-03-01,40,31,14,8,45,27.6
2024-04-01,39,24,16,9,49,27.4
2024-05-01,34,29,15,9,44,26.2
2024-06-01,32,24,14,9,51,26.0
2024-07-01,32,26,13,10,44,25.0
2024-08-01,30,58,15,9,34,29.2
2024-09-01,34,36,16,13,56,31.0
2024-10-01,35,35,15,9,50,28.8
2024-11-01,45,37,18,10,49,31.8
2024-12-01,34,28,13,10,41,25.2
2025-01-01,41,26,15,11,46,27.8
2025-02-01,42,29,16,9,48,28.8
2025-03-01,39,64,16,10,50,35.8
2025-04-01,28,78,16,10,49,36.2
2025-05-01,23,41,15,8,44,26.2
2025-06-01,24,37,16,10,52,27.8
2025-07-01,22,34,13,7,45,24.2
2025-08-01,21,31,15,9,42,23.6
2025-09-01,24,26,13,7,52,24.4
2025-10-01,29,34,16,9,48,27.2
2025-11-01,68,75,69,57,96,73.0
2025-12-01,69,85,100,100,100,90.8
2026-01-01,61,77,88,75,98,79.8
